"CompLetter","Code","Name","Description"
"A","1.0","Activity Alteration","Change in or modification of energy used by the body"
"A","1.1","Activity Intolerance","Incapacity to carry out physiological or psychological daily activities"
"A","1.2","Activity Intolerance Risk","Increased chance of an incapacity to carry out physiological or psychological daily activities"
"A","1.3","Diversional Activity Deficit","Lack of interest or engagement in leisure activities"
"A","1.4","Fatigue","Exhaustion that interferes with physical and mental activities"
"A","1.5","Physical Mobility Impairment","Diminished ability to perform independent movement"
"A","1.6","Sleep Pattern Disturbance","Imbalance in the normal sleep/wake cycle"
"A","1.7","Sleep Deprivation","Lack of the normal sleep / wake cycle"
"A","2.0","Musculoskeletal Alteration","Change in or modification of the muscles, bones or support structures"
"B","3.0","Bowel Elimination Alteration","Change in or modification of the gastrointestinal system"
"B","3.1","Bowel Incontinence","Involuntary defecation"
"B","3.3","Diarrhea","Abnormal frequency and fluidity of feces"
"B","3.4","Fecal Impaction","Feces wedged in intestine"
"B","3.5","Perceived Constipation","Impression of infrequent or difficult passage of hard, dry feces without cause."
"B","3.6","Constipation","Difficult passage of hard, dry, feces"
"B","4.0","Gastrointestinal Alteration","Change in or modification of the stomach or intestines"
"B","4.1","Nausea","Distaste for food/fluid and an urge to vomit"
"B","4.2","Vomiting","Expulsion of stomach contents through the mouth."
"C","5.0","Cardiac Output Alteration","Change in or modification of the pumping action of the heart or blood vessels"
"C","6.0","Cardiovascular Alteration","Change in or modification of the heart or blood vessels"
"C","6.1","Blood Pressure Alteration","Change in or modification of the systolic or diastolic pressure"
"C","6.2","Bleeding Risk","Increased chance of loss of blood volume"
"D","7.0","Cerebral Alteration","Change in or modification of mental processes"
"D","7.1","Confusion","State of being disoriented (mixed-up)"
"D","8.0","Knowledge Deficit","Lack of information, understanding, or comprehension"
"D","8.1","Knowledge Deficit of Diagnostic Test","Lack of information on tests to identify disease or assess health condition"
"D","8.2","Knowledge Deficit of Dietary Regimen","Lack of information on the prescribed diet/food intake"
"D","8.3","Knowledge Deficit of Disease Process","Lack of information on the morbidity, course, or treatment of the health,condition"
"D","8.4","Knowledge Deficit of Fluid Volume","Lack of information on fluid volume intake requirements"
"D","8.5","Knowledge Deficit of Medication Regimen","Lack of information on prescribed regulated course of medicinal,substances"
"D","8.6","Knowledge Deficit of Safety Precautions","Lack of information on measures to prevent injury, danger, or loss"
"D","8.7","Knowledge Deficit of Therapeutic Regimen","Lack of information on regulated course of treating disease"
"D","9.0","Thought Processes Alteration","Change in or modification of thought and cognitive processes"
"D","9.1","Memory Impairment","Diminished or inability to recall past events"
"E","10.0","Dying Process","Physical and behavioral responses associated with death"
"E","11.0","Family Coping Impairment","Inadequate family response to problems or difficulties"
"E","11.2","Disabled Family Coping","Inability of family to function optimally"
"E","12.0","Individual Coping Impairment","Inadequate personal response to problems or difficulties"
"E","12.1","Adjustment Impairment","Inadequate adaptation to condition or change in health status"
"E","12.2","Decisional Conflict","Struggle related to determining a course of action"
"E","12.3","Defensive Coping","Self-protective strategies to guard against threats to self"
"E","12.4","Denial","Attempt to reduce anxiety by refusal to accept thoughts, feelings, or facts"
"E","13.0","Post-Trauma Response","Sustained behavior related to a traumatic event"
"E","13.1","Rape Trauma Syndrome","Group of symptoms related to a forced sexual act"
"E","14.0","Spiritual State Alteration","Change in or modification of the spirit or soul"
"E","14.1","Spiritual Distress","Anguish related to the spirit or soul"
"E","52.0","Community Coping Impairment","Inadequate community response to problems or difficulties"
"E","53.0","Grieving","Feeling of great sorrow"
"E","53.1","Anticipatory Grieving","Feeling great sorrow before the event or loss"
"E","53.2","Dysfunctional Grieving","Prolonged feeling of great sorrow"
"F","15.0","Fluid Volume Alteration","Change in or modification of bodily fluid"
"F","15.1","Fluid Volume Deficit","Dehydration or fluid loss"
"F","15.2","Fluid Volume Deficit Risk","Increased chance of dehydration or fluid loss."
