"code","kind","parent_code","title"
"I","chapter","","Certain infectious and parasitic diseases"
"A00-A09","block","I","Intestinal infectious diseases"
"A00","category","A00-A09","Cholera"
"A00.0","category","A00","Cholera due to Vibrio cholerae 01, biovar cholerae"
"A00.1","category","A00","Cholera due to Vibrio cholerae 01, biovar eltor"
"A00.9","category","A00","Cholera, unspecified"
"A01","category","A00-A09","Typhoid and paratyphoid fevers"
"A01.0","category","A01","Typhoid fever"
"A01.1","category","A01","Paratyphoid fever A"
"A01.2","category","A01","Paratyphoid fever B"
"A01.3","category","A01","Paratyphoid fever C"
"A01.4","category","A01","Paratyphoid fever, unspecified"
"A02","category","A00-A09","Other salmonella infections"
"A02.0","category","A02","Salmonella enteritis"
"A02.1","category","A02","Salmonella sepsis"
"A02.2","category","A02","Localized salmonella infections"
"A02.8","category","A02","Other specified salmonella infections"
"A02.9","category","A02","Salmonella infection, unspecified"
"A03","category","A00-A09","Shigellosis"
"A03.0","category","A03","Shigellosis due to Shigella dysenteriae"
"A03.1","category","A03","Shigellosis due to Shigella flexneri"
"A03.2","category","A03","Shigellosis due to Shigella boydii"
"A03.3","category","A03","Shigellosis due to Shigella sonnei"
"A03.8","category","A03","Other shigellosis"
"A03.9","category","A03","Shigellosis, unspecified"
"A04","category","A00-A09","Other bacterial intestinal infections"
"A04.0","category","A04","Enteropathogenic Escherichia coli infection"
"A04.1","category","A04","Enterotoxigenic Escherichia coli infection"
"A04.2","category","A04","Enteroinvasive Escherichia coli infection"
"A04.3","category","A04","Enterohaemorrhagic Escherichia coli infection"
"A04.4","category","A04","Other intestinal Escherichia coli infections"
"A04.5","category","A04","Campylobacter enteritis"
"A04.6","category","A04","Enteritis due to Yersinia enterocolitica"
"A04.7","category","A04","Enterocolitis due to Clostridium difficile"
"A04.8","category","A04","Other specified bacterial intestinal infections"
"A04.9","category","A04","Bacterial intestinal infection, unspecified"
"A05","category","A00-A09","Other bacterial foodborne intoxications, not elsewhere classified"
"A05.0","category","A05","Foodborne staphylococcal intoxication"
"A05.1","category","A05","Botulism"
"A05.2","category","A05","Foodborne Clostridium perfringens [Clostridium welchii] intoxication"
"A05.3","category","A05","Foodborne Vibrio parahaemolyticus intoxication"
"A05.4","category","A05","Foodborne Bacillus cereus intoxication"
"A05.8","category","A05","Other specified bacterial foodborne intoxications"
"A05.9","category","A05","Bacterial foodborne intoxication, unspecified"
"A06","category","A00-A09","Amoebiasis"
"A06.0","category","A06","Acute amoebic dysentery"
"A06.1","category","A06","Chronic intestinal amoebiasis"
"A06.2","category","A06","Amoebic nondysenteric colitis"
"A06.3","category","A06","Amoeboma of intestine"
"A06.4","category","A06","Amoebic liver abscess K77.0"
"A06.5","category","A06","Amoebic lung abscess"
"A06.6","category","A06","Amoebic brain abscess G07"
"A06.7","category","A06","Cutaneous amoebiasis"
"A06.8","category","A06","Amoebic infection of other sites"
"A06.9","category","A06","Amoebiasis, unspecified"
"A07","category","A00-A09","Other protozoal intestinal diseases"
"A07.0","category","A07","Balantidiasis"
"A07.1","category","A07","Giardiasis [lambliasis]"
"A07.2","category","A07","Cryptosporidiosis"
"A07.3","category","A07","Isosporiasis"
"A07.8","category","A07","Other specified protozoal intestinal diseases"
"A07.9","category","A07","Protozoal intestinal disease, unspecified"
"A08","category","A00-A09","Viral and other specified intestinal infections"
"A08.0","category","A08","Rotaviral enteritis"
"A08.1","category","A08","Acute gastroenteropathy due to Norovirus"
"A08.2","category","A08","Adenoviral enteritis"
"A08.3","category","A08","Other viral enteritis"
"A08.4","category","A08","Viral intestinal infection, unspecified"
"A08.5","category","A08","Other specified intestinal infections"
"A09","category","A00-A09","Other gastroenteritis and colitis of infectious and unspecified origin"
"A09.0","category","A09","Other and unspecified gastroenteritis and colitis of infectious origin"
"A09.9","category","A09","Gastroenteritis and colitis of unspecified origin"
"A15-A19","block","I","Tuberculosis"
"A15","category","A15-A19","Respiratory tuberculosis, bacteriologically and histologically confirmed"
"A15.0","category","A15","Tuberculosis of lung, confirmed by sputum microscopy with or without culture"
"A15.1","category","A15","Tuberculosis of lung, confirmed by culture only"
"A15.2","category","A15","Tuberculosis of lung, confirmed histologically"
"A15.3","category","A15","Tuberculosis of lung, confirmed by unspecified means"
"A15.4","category","A15","Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically"
"A15.5","category","A15","Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically"
"A15.6","category","A15","Tuberculous pleurisy, confirmed bacteriologically and histologically"
"A15.7","category","A15","Primary respiratory tuberculosis, confirmed bacteriologically and histologically"
"A15.8","category","A15","Other respiratory tuberculosis, confirmed bacteriologically and histologically"
"A15.9","category","A15","Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically"
"A16","category","A15-A19","Respiratory tuberculosis, not confirmed bacteriologically or histologically"
"A16.0","category","A16","Tuberculosis of lung, bacteriologically and histologically negative"
"A16.1","category","A16","Tuberculosis of lung, bacteriological and histological examination not done"
"A16.2","category","A16","Tuberculosis of lung, without mention of bacteriological or histological confirmation"
"A16.3","category","A16","Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation"
"A16.4","category","A16","Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation"
"A16.5","category","A16","Tuberculous pleurisy, without mention of bacteriological or histological confirmation"
"A16.7","category","A16","Primary respiratory tuberculosis without mention of bacteriological or histological confirmation"
"A16.8","category","A16","Other respiratory tuberculosis, without mention of bacteriological or histological confirmation"
"A16.9","category","A16","Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"
"A17","category","A15-A19","Tuberculosis of nervous system"
"A17.0","category","A17","Tuberculous meningitis G01"
"A17.1","category","A17","Meningeal tuberculoma G07"
"A17.8","category","A17","Other tuberculosis of nervous system"
"A17.9","category","A17","Tuberculosis of nervous system, unspecified G99.8"
"A18","category","A15-A19","Tuberculosis of other organs"
"A18.0","category","A18","Tuberculosis of bones and joints"
"A18.1","category","A18","Tuberculosis of genitourinary system"
"A18.2","category","A18","Tuberculous peripheral lymphadenopathy"
"A18.3","category","A18","Tuberculosis of intestines, peritoneum and mesenteric glands"
"A18.4","category","A18","Tuberculosis of skin and subcutaneous tissue"
"A18.5","category","A18","Tuberculosis of eye"
"A18.6","category","A18","Tuberculosis of ear"
"A18.7","category","A18","Tuberculosis of adrenal glands E35.1"
"A18.8","category","A18","Tuberculosis of other specified organs"
"A19","category","A15-A19","Miliary tuberculosis"
"A19.0","category","A19","Acute miliary tuberculosis of a single specified site"
"A19.1","category","A19","Acute miliary tuberculosis of multiple sites"
"A19.2","category","A19","Acute miliary tuberculosis, unspecified"
"A19.8","category","A19","Other miliary tuberculosis"
"A19.9","category","A19","Miliary tuberculosis, unspecified"
"A20-A28","block","I","Certain zoonotic bacterial diseases"
"A20","category","A20-A28","Plague"
"A20.0","category","A20","Bubonic plague"
"A20.1","category","A20","Cellulocutaneous plague"
"A20.2","category","A20","Pneumonic plague"
"A20.3","category","A20","Plague meningitis"
"A20.7","category","A20","Septicaemic plague"
"A20.8","category","A20","Other forms of plague"
"A20.9","category","A20","Plague, unspecified"
"A21","category","A20-A28","Tularaemia"
"A21.0","category","A21","Ulceroglandular tularaemia"
"A21.1","category","A21","Oculoglandular tularaemia"
"A21.2","category","A21","Pulmonary tularaemia"
"A21.3","category","A21","Gastrointestinal tularaemia"
"A21.7","category","A21","Generalized tularaemia"
"A21.8","category","A21","Other forms of tularaemia"
"A21.9","category","A21","Tularaemia, unspecified"
"A22","category","A20-A28","Anthrax"
"A22.0","category","A22","Cutaneous anthrax"
"A22.1","category","A22","Pulmonary anthrax"
"A22.2","category","A22","Gastrointestinal anthrax"
"A22.7","category","A22","Anthrax sepsis"
"A22.8","category","A22","Other forms of anthrax"
"A22.9","category","A22","Anthrax, unspecified"
"A23","category","A20-A28","Brucellosis"
"A23.0","category","A23","Brucellosis due to Brucella melitensis"
"A23.1","category","A23","Brucellosis due to Brucella abortus"
"A23.2","category","A23","Brucellosis due to Brucella suis"
"A23.3","category","A23","Brucellosis due to Brucella canis"
"A23.8","category","A23","Other brucellosis"
"A23.9","category","A23","Brucellosis, unspecified"
"A24","category","A20-A28","Glanders and melioidosis"
"A24.0","category","A24","Glanders"
"A24.1","category","A24","Acute and fulminating melioidosis"
"A24.2","category","A24","Subacute and chronic melioidosis"
"A24.3","category","A24","Other melioidosis"
"A24.4","category","A24","Melioidosis, unspecified"
"A25","category","A20-A28","Rat-bite fevers"
"A25.0","category","A25","Spirillosis"
"A25.1","category","A25","Streptobacillosis"
"A25.9","category","A25","Rat-bite fever, unspecified"
"A26","category","A20-A28","Erysipeloid"
"A26.0","category","A26","Cutaneous erysipeloid"
"A26.7","category","A26","Erysipelothrix sepsis"
"A26.8","category","A26","Other forms of erysipeloid"
"A26.9","category","A26","Erysipeloid, unspecified"
"A27","category","A20-A28","Leptospirosis"
"A27.0","category","A27","Leptospirosis icterohaemorrhagica"
"A27.8","category","A27","Other forms of leptospirosis"
"A27.9","category","A27","Leptospirosis, unspecified"
"A28","category","A20-A28","Other zoonotic bacterial diseases, not elsewhere classified"
"A28.0","category","A28","Pasteurellosis"
"A28.1","category","A28","Cat-scratch disease"
"A28.2","category","A28","Extraintestinal yersiniosis"
"A28.8","category","A28","Other specified zoonotic bacterial diseases, not elsewhere classified"
"A28.9","category","A28","Zoonotic bacterial disease, unspecified"
"A30-A49","block","I","Other bacterial diseases"
"A30","category","A30-A49","Leprosy [Hansen disease]"
"A30.0","category","A30","Indeterminate leprosy"
"A30.1","category","A30","Tuberculoid leprosy"
"A30.2","category","A30","Borderline tuberculoid leprosy"
"A30.3","category","A30","Borderline leprosy"
"A30.4","category","A30","Borderline lepromatous leprosy"
"A30.5","category","A30","Lepromatous leprosy"
"A30.8","category","A30","Other forms of leprosy"
"A30.9","category","A30","Leprosy, unspecified"
"A31","category","A30-A49","Infection due to other mycobacteria"
"A31.0","category","A31","Pulmonary mycobacterial infection"
"A31.1","category","A31","Cutaneous mycobacterial infection"
"A31.8","category","A31","Other mycobacterial infections"
"A31.9","category","A31","Mycobacterial infection, unspecified"
"A32","category","A30-A49","Listeriosis"
"A32.0","category","A32","Cutaneous listeriosis"
"A32.1","category","A32","Listerial meningitis and meningoencephalitis"
"A32.7","category","A32","Listerial sepsis"
"A32.8","category","A32","Other forms of listeriosis"
"A32.9","category","A32","Listeriosis, unspecified"
"A33","category","A30-A49","Tetanus neonatorum"
"A34","category","A30-A49","Obstetrical tetanus"
"A35","category","A30-A49","Other tetanus"
"A36","category","A30-A49","Diphtheria"
"A36.0","category","A36","Pharyngeal diphtheria"
"A36.1","category","A36","Nasopharyngeal diphtheria"
"A36.2","category","A36","Laryngeal diphtheria"
"A36.3","category","A36","Cutaneous diphtheria"
"A36.8","category","A36","Other diphtheria"
"A36.9","category","A36","Diphtheria, unspecified"
"A37","category","A30-A49","Whooping cough"
"A37.0","category","A37","Whooping cough due to Bordetella pertussis"
"A37.1","category","A37","Whooping cough due to Bordetella parapertussis"
"A37.8","category","A37","Whooping cough due to other Bordetella species"
